Extract_ID,Depository_ID,Dog/Wolf Status,Country,Site name,"Analysed
Nuclear","mtDNA 
Analysed",mtDNA capture,Extraction_lab,Lat,Long,Radiocarbon Lab #,Direct date?,"Radiocarbon date 
 (95.4% interval, lab number)","Age 
(from context)","Number 
of reads","Endogeneous
 Content","Nuclear
Coverage",Sex,"mtDNA 
Coverage",N_SNP_call
JBG43,11S1232 I15 PP4747-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,670175,64.4883799,NA,NA,193.1227955,NA
JBG41,11S1232 7892-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,164370,37.65833181,NA,NA,168.990614,NA
JBG17,11S1232 2601-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,41931,79.16338747,NA,NA,165.3036408,NA
JBG11,11S1232 1671-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,130420,53.77932832,NA,NA,162.6978538,NA
JBG42,11S1232 F9 PP4407-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,152682,60.71639093,NA,NA,158.2733903,NA
JBG13,11S1232 939-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,114795,45.01241343,NA,NA,157.7362348,NA
JBG45,11S1232 L17 P 2-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,73704,56.19098014,NA,NA,154.8202905,NA
JBG24,11S1232 2793-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,54470,71.94969708,NA,NA,154.409398,NA
JBG12,11S1232 845-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,185720,34.4432479,NA,NA,153.6255156,NA
JBG48,11S1232 3993-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,65927,51.99690567,NA,NA,149.6821905,NA
CGG7,Zh-90-3,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24240,direct date,9015-9255 cal BP,7900-9000 BP,138160,59.1806601,NA,NA,145.7030549,NA
JBG32,11S1232 5819-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,54179,71.94484948,NA,NA,140.0304896,NA
JBG26,11S1232 5267-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,43857,71.20414073,NA,NA,137.4965027,NA
JBG19,11S1232 1724-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,83483,44.75282393,NA,NA,129.5464817,NA
CGG5,Zhokh2004-113,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24238,direct date,8715-8995 cal BP,7900-9000 BP,378999,38.50986414,NA,NA,129.2819394,NA
PRD1,D1-184,Dog,Canada,"Boardwalk, Prince Rupert Harbour, British Columbia",0,1,1,Illinois,54.304849,-130.343108,NA,NA,NA,1500 BP,116751,71.87261779,NA,NA,129.2258026,NA
JBG37,11S1232 7023-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,73435,45.53686934,NA,NA,128.6252167,NA
PRD9,D9-985,Dog,Canada,"Boardwalk, Prince Rupert Harbour, British Columbia",0,1,1,Illinois,54.304849,-130.343108,NA,NA,NA,1500 BP,90571,73.43630964,NA,NA,127.813535,NA
JBG5,11S1232 34-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,51284,54.12214336,NA,NA,122.7431099,NA
AL3194,MU_NP50A_1,Dog,Canada,"Port au Choix, Newfoundland",1,1,0,Oxford,50.703056,-57.352222,UCIAMS159456,direct date,4402-3912 cal BP,Maritime Archaic,265763856,38.33614756,1.92120676,M,116.2334549,4661948
CAO1,CAO1*,Dog,USA,"Channel Islands, California",0,1,1,Illinois,34.045107,-119.723425,NA,NA,NA,2000-6000 BP,40840,73.14887365,NA,NA,110.2931189,NA
AM310A,FS3305,Dog,USA,"Angel Mounds, Indiana",0,1,1,Illinois,37.943211,-87.457802,NA,NA,NA,1000 BP,32097,73.98510764,NA,NA,102.7144736,NA
CGG1,Zhokh2004-18,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24235,direct date,8775-9015 cal BP,7900-9000 BP,46062,56.70400764,NA,NA,99.49967119,NA
CISG,CA-SRI-2 3941,Dog,USA,"Santa Rosa Island, California",0,1,1,Illinois,34.005452,-120.180836,NA,NA,NA,2000 BP or 700 BP,36655,73.75801391,NA,NA,97.65995098,NA
CGG11,AM2,Dog,Russia,"Aachim Lighthouse, western Chukotka",0,1,1,Copenhagen,69.880619,173.467732,Beta-231444,direct date,1700-1740 cal BP,NA,143208,29.26791799,NA,NA,96.7221259,NA
OSU624,OSU_4816_2_4,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,65298,38.88480505,NA,NA,89.69241346,NA
CGG9,Zh-05-29,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24242,direct date,9460-9545 cal BP,7900-9000 BP,83220,33.81639029,NA,NA,87.44449094,NA
CGG4,Zh-90-1,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24237,direct date,9005-8760 cal BP,7900-9000 BP,233112,26.71634236,NA,NA,85.20930233,NA
JBG21,11S1232 4109-2,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,25539,68.63228787,NA,NA,79.32217373,NA
ISM357/AL2704,ISM_F2357,Dog,USA,"Koster, Illinois",0,1,1,Oxford/Illinois,39.209167,-90.549167,NZA37135,direct date,10130-9680 cal BP,"Archaic, Transition",31019,67.57471227,NA,NA,77.18831829,NA
5MT501,5MT5-01,Dog,USA,"Yellow Jacket Pueblo, Colorado",0,1,1,Illinois,37.560349,-108.710563,NA,NA,NA,800-1000 BP,70113,60.39536177,NA,NA,76.37053865,NA
ISM256/AL2135,ISM_F2256A,Dog,USA,"Koster, Illinois",0,1,1,Oxford/Illinois,39.209167,-90.549167,NZA37136,direct date,10110-9680 cal BP,"Archaic, Transition",33094,70.73185472,NA,NA,71.35296228,NA
AL3223,DBU2-LM1,Dog,USA,"Weyanoke Old Town, Virginia (the Hatch site)",1,1,0,Oxford,37.289397,-77.065975," OxA-35,516",direct date,985-935 cal BP,680-1430AD,125598030,16.89122194,0.452093482,F,71.07419143,1806093
CGG2,Zh-90-2,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,Beta-190086,direct date,8910-8960 cal BP,7900-9000 BP,120267,27.17453666,NA,NA,69.40072936,NA
May4,M4: Q152 bag 1,Dog,Mexico,"Mayapan, Yucatan",0,1,1,Illinois,20.461097,-89.216501,NA,NA,NA,1000 BP,28879,65.35198587,NA,NA,63.31613559,NA
CAW2,CAW2*,Dog,USA,"Channel Islands, California",0,1,1,Illinois,33.961451,-119.755407,NA,NA,NA,2000-6000 BP,25137,65.05151768,NA,NA,62.58982483,NA
AM310B,FS3283.33,Dog,USA,"Angel Mounds, Indiana",0,1,1,Illinois,37.943211,-87.457802,NA,NA,NA,1000 BP,22394,64.75395195,NA,NA,61.83386142,NA
May2,M2: Q152 bag 1,Dog,Mexico,"Mayapan, Yucatan",0,1,1,Illinois,20.461097,-89.216501,NA,NA,NA,1000 BP,31184,56.94907645,NA,NA,61.54397083,NA
OSU638,OSU_4816_3_8,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,76797,21.19874474,NA,NA,61.43151791,NA
CGG6,Zh-03-97,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24239,direct date,9545-9485 cal BP,7900-9000 BP,4946724,74.33394303,NA,NA,57.72637054,NA
JBG1m,11S1232 98-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Illinois,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,58193,52.39977317,NA,NA,55.8328451,NA
ISM090/AL2706,ISM_1956_45L190_11_R_5_6090,Dog,USA,"Modoc, Missouri",0,1,1,Oxford/Illinois,38.062723,-90.063822,ISM2013-3 X25579,direct date,8560-8210 cal BP,NA,18608,69.34114359,NA,NA,52.34136426,NA
JBG50,11S1232 Q25 PP4811-1,Dog,USA,"Janey B. Goode, Illinois",0,1,1,Copenhagen,38.658475,-90.162219,NA,NA,NA,1000-1400 BP,31422,41.09222838,NA,NA,50.2458301,NA
AM474,FS2187,Dog,USA,"Angel Mounds, Indiana",0,1,1,Illinois,37.943211,-87.457802,NA,NA,NA,1000 BP,23613,53.65264896,NA,NA,47.62306451,NA
AM310C,FS3283.22,Dog,USA,"Angel Mounds, Indiana",0,1,1,Illinois,37.943211,-87.457802,NA,NA,NA,1000 BP,25562,48.4547375,NA,NA,47.30860286,NA
CINH7,CA-SNI-21 133.21-7,Dog,USA,"North Head site, San Nicholas Island, California",0,1,1,Illinois,33.27018,-119.566165,NA,NA,NA,5000 BP or 2000 BP,20560,63.92509728,NA,NA,47.10402344,NA
CINHA,CA-SNI-21 133.21-A,Dog,USA,"North Head site, San Nicholas Island, California",0,1,1,Illinois,33.27018,-119.566165,NA,NA,NA,5000 BP or 2000 BP,20083,68.31150724,NA,NA,46.00454355,NA
OSU634,OSU_4816_3_4,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,1427900,13.33923944,NA,NA,45.14933939,NA
LB2,CT8 D-2 2-90,Dog,USA,"Little Bear, Alabama",0,1,1,Copenhagen,34.307486,-87.665349,NA,NA,NA,3000-7000 BP,101269,23.50373757,NA,NA,44.6299994,NA
May3,M3: Q152 bag 1,Dog,Mexico,"Mayapan, Yucatan",0,1,1,Illinois,20.461097,-89.216501,NA,NA,NA,1000 BP,23276,53.93538409,NA,NA,42.79273032,NA
CGG3,Zhokh2004-19,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24236,direct date,8480-8635 cal BP,7900-9000 BP,68821,28.64532628,NA,NA,40.03258205,NA
5MT316,5MT23-16,Dog,USA,"Grass Mesa, Colorado",0,1,1,Illinois,39.469051,-107.77138,NA,NA,NA,1100-1400 BP,19512,56.02706027,NA,NA,39.31751061,NA
OSU626,OSU_4816_2_6,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,20919,37.39662508,NA,NA,35.4464638,NA
CIAS,CA-SBA-27 F.492,Dog,USA,"Syuxtun, California",0,1,1,Illinois,34.410263,-119.691328,NA,NA,NA,2000-6000 BP,16396,59.2461576,NA,NA,33.38847373,NA
CGG8,Zh-04-154,Dog,Russia,"Zhokhov site, Zhokhov island, New Siberian Islands",0,1,1,Copenhagen,76.141111,152.733056,MAMS-24241,direct date,8660-8995 cal BP,7900-9000 BP,44351,27.36578657,NA,NA,31.15268727,NA
OSU622,OSU_4816_2_2,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,97198,23.2576802,NA,NA,30.50002989,NA
OSU628,OSU_4816_2_8,Dog,USA,"Scioto Caverns, Ohio",0,1,1,Illinois,40.113,-83.107,NA,NA,NA,2200-1600 BP,56784,20.31558185,NA,NA,29.37203324,NA
CGG10,AM1,Dog,Russia,"Aachim Lighthouse, western Chukotka",0,1,1,Copenhagen,69.880619,173.467732,Beta-231449,direct date,1720-1780 cal BP,NA,60830,29.12214368,NA,NA,28.83158965,NA
P59,1Lu25-Dog59,Dog,USA,"Perry, Alabama",0,1,1,Copenhagen,34.915399,-87.684085,NA,NA,NA,3000-7000 BP,134568,17.28642768,NA,NA,26.48329049,NA
